Medicine,Condition,Review
Exenatide,"Diabetes, Type 2","""Took over a month for my numbers to begin coming down. Now, after 6 weeks, I&#039;m lower than anything obtained on my previous meds, but still not down to &#039;normal&#039;. Injections are not a problem. I&#039;ve been giving my wife B-12 shots for years, so I know to not be timid about sticking the needle in. Does it hurt? Not really. Just a prick that&#039;s not any worse than the prick needed for using my meter. Did develop a few nodules that are slow about going away, but they are not sensitive or uncomfortable. No nausea and my appetite is similar to before. Don&#039;t like the cost but expect to stay with Bydureon."""
Exenatide,"Diabetes, Type 2","""I have been on bydureon for 3 injections. I was put on it to aid with weight loss cause my body doesn&#039;t produce enough insulin. I&#039;m so happy no side effects so far, I lost 8lbs in 2 weeks and 4 days. I&#039;m also excersizing with the injections and eating right. I&#039;m happy I have something to help the weight loss."""
Liraglutide,"Diabetes, Type 2","""I am very pleased with this medication. Since I started the medicines back in March I have lost 22 lbs, had no side effects the first few months. Now as of recently I am experiencing major constipation, eggy burps etc. My sugars are normal. I do not want to give up this medication I am just worried I have about 150 lbs to lose still and my weight lose has stopped due to the constipation. I know I am keeping my calories at about 1200- 1500 per day and there is not way I should not be losing. I am 300 lbs."""
Dapagliflozin,"Diabetes, Type 2","""I have been on this for the past 9 months, my doctor visit (9 months ago) A1C was at 9.0. I asked if he thought I could try this medicine and he agreed. My most recent visit my A1C had dropped to 6.5. I was afraid that it was still going to be high since I had not changed they way I ate or started exercising. I have always and still do take Janumet twice daily. Also I have experienced absolutely none of the side effects, except frequent urination early on but that has calmed down."""
Jentadueto,"Diabetes, Type 2","""G"""
Metformin,"Diabetes, Type 2","""Metformin 1000mg x2 daily. Works okay to lower sugar levels."""
Glimepiride,"Diabetes, Type 2","""I have been taking Amaryl for 3 weeks and it has lowered my blood sugars 70 points.  I do have stomach problems since taking this medication,   I do find that I have to watch my sugars as after about 2 hours my sugar level drops."""
Dulaglutide,"Diabetes, Type 2","""Started on 0.75 for 4 weeks then up to full dose 1.5. Nausea and lack of appetite where bad for first 2-3 months then they subsided and I started to eat normally again - lost 3-4 kg - that;&#039;s all

Worst side effect was extreme tiredness

Stopped taking the drug 10 days back but the tiredness persists....... will recommence again in a week or so - body is enjoying the break!"""
Dulaglutide,"Diabetes, Type 2","""I took my first trulicity shot on Tuesday Sept. 27th. I started feeling VERY  tired the next day. I work a 12 hour shift and I  could barely make it threw the day. Friday evening I felt very ill. Chills, back pain, and headache. Saturday morning I was ill. Chills, radiating pain from stomach, to back, to my head, numbness in my feet, dizziness, confusion, cotton mouth, shakiness, blurried vision, slurred speech, and a huge lump on right side of neck. Today is Tuesday Oct. 4th and I still feel horrible! I won&#039;t take this shot ever again"""
Lantus,"Diabetes, Type 2","""Excellent!"""
Canagliflozin,"Diabetes, Type 2","""I have been on Invokana since September 2013, so a little over a year. I have experienced hair loss, tiredness, and yeast infections. I talked to my doctor about the hair loss, which I experienced for over a year. He has upped my Metformin to the maximum dosage. My hair has stopped falling out. I am also using Rosemary essential oil to help with hair loss, and probiotics for the yeast infection. I have had amazing results with this medication in regards to blood sugar control. My A1C went from 12.3 to 7.1 I have never had such control. As a benefit I have lost over the course of a year 34 pounds. I feel that the benefits outweigh the side effects"""
Tresiba,"Diabetes, Type 1","""I have been a diabetic for 51 yrs. I used Lantus as my bedtime insulin and Novolog on sliding scale for meals. I was taken off Lantus by Endo and replaced it with Tresibia. 1st day I noticed dizziness, 2nd day it was worse on 3rd day I can&#039;t walk across a room for I am going side ways. I am so sick for i feel like I am on a merry go round non stop. My BS dropped to 25 this morning and with the dizziness and this I was in a bad shape!!! Back to my Lantus I go and Tresibia is in TRASH where it belongs!!!!!!"""
Liraglutide,"Diabetes, Type 2","""Victoza is an amazing drug thank you. My insurance only covered trulicity it was garbage. At least for me,  my doctor gave me a 2 week trial the difference was day and night. On the first day Victoza bought my sugar from 169 to 125  second day 99. 3 day 98  it&#039;s a steady 90 I have been doing .6  not up to the 1.8 I will ask my doctor to see if a higher dosage is necessary. My doctor fought for me against my insurance (like they care) they gave me permission for one year. My diarrhea was mild and is subsiding no other symptoms I take my med at night and it stopped the morning spikes. Some people say headaches, maybe doing the night injections help,,, I don&#039;t get them This drug is a miracle thank you Denmark sad we Americans don&#039;t care"""
Bydureon,"Diabetes, Type 2","""I have been on Bydureon for 3 months now, I have lost 10lbs. Without trying my blood sugars stay around a 100-120, I also take 2000mg metformin. The mixing is a pain, but its only once a week bumps at injection site and heartburn are my only reactions to the medication, I think its working great!"""
Dulaglutide,"Diabetes, Type 2","""I was on Actos for many years with perfect glucose control. My new doctor doesn&#039;t like it so switched me to Trulicity. Starting with the lower dose, I had severe nausea (no vomiting), and fatigue. Now on 1.5 mg and have nausea with occasional vomiting, severe acid stomach, fatigue, explosive diarrhea and daily occular migraines, which I haven&#039;t had since I had a hysterectomy 15 years ago. The doctor says it will get better as I get used to it. No change in my already perfect glucose readings. Am I wrong to think that paying $380 a month to be sick is nuts? I lost 12 pounds in 6 weeks because I&#039;m living on soda crackers. I can&#039;t even keep down the 2 liters of water I&#039;m required to drink for kidneys damaged by undiagnosed kidney stones."""
Dulaglutide,"Diabetes, Type 2","""Started trulicity about 8 months ago at .75mg...in the beginning very queasy &amp; complete loss of appetite which was a great thing. Also belching &amp; heartburn/sour stomach. I noticed after about 3 months the effects wore off so my doctor put me on 1.5mg 1x per week plus the .75mg 1x per week. None of the side effects returned...my appetite is back, no queasiness, weight loss stopped as well as no more sour stomach or belching. Wonder if anyone else has experienced the effects of the medicine wearing off as well. Not sure why I am still on it at this point! Also taking 1000mg Metformin 2x daily &amp; invokanna."""
